ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399905.SZ,20201013,6551.3987,6538.8354,6557.8635,6486.3088,6541.176,10.2227,0.1563,111558450.0,130283812.0
399905.SZ,20201012,6541.176,6408.0827,6541.3102,6399.6833,6357.9711,183.2049,2.8815,144824349.0,160960006.1
399905.SZ,20201009,6357.9711,6300.0703,6373.9367,6290.4705,6192.5045,165.4666,2.672,100386231.0,115149926.3
399905.SZ,20200930,6192.5045,6245.1158,6260.1234,6155.0208,6228.7708,-36.2663,-0.5822,81484093.0,89615460.4
399905.SZ,20200929,6228.7708,6206.9908,6280.4433,6179.8807,6178.4693,50.3015,0.8141,81371164.0,91783259.8
399905.SZ,20200928,6178.4693,6255.021,6261.9304,6171.02,6236.8904,-58.4211,-0.9367,78962915.0,87526269.7
399905.SZ,20200925,6236.8904,6271.7008,6285.4717,6206.1823,6244.6389,-7.7485,-0.1241,87798788.0,92989168.3
399905.SZ,20200924,6244.6389,6353.694,6354.6827,6243.282,6392.0329,-147.394,-2.3059,112801467.0,112624608.4
399905.SZ,20200923,6392.0329,6382.2813,6411.2048,6356.1636,6358.652,33.3809,0.525,95048833.0,106027143.3
399905.SZ,20200922,6358.652,6392.025,6462.9751,6341.4838,6445.9649,-87.3129,-1.3545,121305894.0,122989741.8
399905.SZ,20200921,6445.9649,6492.2249,6515.337,6434.3239,6469.4692,-23.5043,-0.3633,126023721.0,133640323.4
399905.SZ,20200918,6469.4692,6367.7923,6473.5997,6353.5609,6367.0206,102.4486,1.6091,135226264.0,136788919.9
399905.SZ,20200917,6367.0206,6345.6715,6416.0088,6291.6343,6353.836,13.1846,0.2075,118959681.0,123682498.3
399905.SZ,20200916,6353.836,6379.5178,6387.7666,6321.5668,6387.8805,-34.0445,-0.533,113379887.0,112504425.5
399905.SZ,20200915,6387.8805,6351.0366,6388.1304,6328.5366,6351.2422,36.6383,0.5769,115184154.0,117077083.5
399905.SZ,20200914,6351.2422,6350.3551,6381.182,6297.9023,6311.967,39.2752,0.6222,130502277.0,129303970.0
399905.SZ,20200911,6311.967,6209.7881,6319.6691,6209.7881,6235.5687,76.3983,1.2252,124629194.0,115690880.1
399905.SZ,20200910,6235.5687,6404.6646,6414.9623,6219.6361,6349.2234,-113.6547,-1.7901,181049497.0,149335340.8
399905.SZ,20200909,6349.2234,6455.3053,6471.4824,6319.2713,6525.098,-175.8746,-2.6954,216916351.0,176688524.1
399905.SZ,20200908,6525.098,6493.7737,6542.9954,6432.952,6478.8124,46.2856,0.7144,161230318.0,148148725.2
399905.SZ,20200907,6478.8124,6619.8982,6669.3935,6459.1029,6618.5762,-139.7638,-2.1117,155581748.0,167216213.9
399905.SZ,20200904,6618.5762,6545.888,6631.0289,6538.4896,6662.2515,-43.6753,-0.6556,125358462.0,132077386.3
399905.SZ,20200903,6662.2515,6715.1042,6732.6741,6638.4482,6717.5579,-55.3064,-0.8233,142110335.0,151591727.8
399905.SZ,20200902,6717.5579,6725.6913,6742.5527,6647.0341,6710.4599,7.098,0.1058,149562548.0,160818469.7
399905.SZ,20200901,6710.4599,6667.168,6710.4599,6637.6339,6668.4331,42.0268,0.6302,125632490.0,140204445.9
399905.SZ,20200831,6668.4331,6719.2859,6765.8853,6667.6792,6691.2096,-22.7765,-0.3404,156024385.0,173312513.8
399905.SZ,20200828,6691.2096,6571.8981,6695.3574,6553.9227,6578.7912,112.4184,1.7088,141949593.0,155878611.7
399905.SZ,20200827,6578.7912,6538.1362,6585.7193,6486.7508,6525.8786,52.9126,0.8108,129836198.0,142139979.1
399905.SZ,20200826,6525.8786,6650.449,6660.7634,6501.2409,6652.5478,-126.6692,-1.9041,153734771.0,170546092.5
399905.SZ,20200825,6652.5478,6698.1196,6734.4378,6631.6853,6688.9647,-36.4169,-0.5444,147098130.0,158243101.1
399905.SZ,20200824,6688.9647,6667.2961,6702.7487,6589.9285,6643.9444,45.0203,0.6776,143020354.0,157948512.2
399905.SZ,20200821,6643.9444,6628.9007,6686.0233,6589.1968,6593.785,50.1594,0.7607,142963493.0,153128200.6
399905.SZ,20200820,6593.785,6622.0053,6672.4908,6570.6949,6666.274,-72.489,-1.0874,157646258.0,163429358.3
399905.SZ,20200819,6666.274,6782.5931,6782.5931,6661.9879,6789.3979,-123.1239,-1.8135,194309136.0,205475855.5
399905.SZ,20200818,6789.3979,6747.6059,6811.5637,6737.5288,6744.5468,44.8511,0.665,189166175.0,208576358.6
399905.SZ,20200817,6744.5468,6646.5418,6752.3176,6614.1849,6623.5633,120.9835,1.8266,201407357.0,207540650.7
